"","part.x","term","rank.x","part.y","rank.y"
"1",1,"mulder",1,0.843971631205674,4
"2",1,"sculli",2,0.985815602836879,1
"3",0.916666666666667,"find",3,0.943262411347518,2
"4",0.866666666666667,"meanwhil",4,0.673758865248227,9
"5",0.866666666666667,"tell",5,0.74468085106383,7
"6",0.783333333333333,"agent",6,0.872340425531915,3
"7",0.783333333333333,"kill",7,0.780141843971631,5
"8",0.766666666666667,"man",8,0.602836879432624,14
"9",0.766666666666667,"skinner",9,0.191489361702128,184
"10",0.75,"believ",10,0.709219858156028,8
"11",0.75,"later",11,0.74468085106383,6
"12",0.75,"meet",12,0.553191489361702,21
"13",0.733333333333333,"alien",13,0.106382978723404,369
"14",0.733333333333333,"arriv",14,0.631205673758865,12
"15",0.716666666666667,"fbi",15,0.48936170212766,29
"16",0.683333333333333,"leav",16,0.588652482269504,17
"17",0.666666666666667,"reveal",17,0.560283687943262,20
"18",0.616666666666667,"return",18,0.50354609929078,26
"19",0.6,"investig",19,0.595744680851064,16
"20",0.6,"one",20,0.652482269503546,10
"21",0.583333333333333,"visit",21,0.468085106382979,36
"22",0.566666666666667,"inform",22,0.333333333333333,77
"23",0.566666666666667,"see",23,0.624113475177305,13
"24",0.55,"claim",24,0.50354609929078,25
"25",0.55,"howev",25,0.595744680851064,15
"26",0.55,"two",26,0.588652482269504,18
"27",0.55,"work",27,0.368794326241135,67
"28",0.533333333333333,"take",28,0.524822695035461,23
"29",0.516666666666667,"abduct",29,0.120567375886525,323
"30",0.516666666666667,"die",30,0.468085106382979,35
"31",0.516666666666667,"head",31,0.432624113475177,45
"32",0.5,"apart",32,0.283687943262411,93
"33",0.5,"back",33,0.546099290780142,22
"34",0.5,"discov",34,0.574468085106383,19
"35",0.5,"learn",35,0.347517730496454,70
"36",0.5,"offic",36,0.290780141843972,91
"37",0.5,"smoke",37,0.099290780141844,426
"38",0.483333333333333,"bodi",38,0.645390070921986,11
"39",0.483333333333333,"escap",39,0.382978723404255,60
"40",0.466666666666667,"hospit",40,0.340425531914894,74
"41",0.466666666666667,"room",41,0.397163120567376,54
"42",0.466666666666667,"show",42,0.411347517730496,52
"43",0.45,"found",43,0.432624113475177,44
"44",0.45,"use",44,0.382978723404255,62
"45",0.433333333333333,"can",45,0.319148936170213,81
"46",0.433333333333333,"insid",46,0.425531914893617,48
"47",0.433333333333333,"order",47,0.24822695035461,126
"48",0.433333333333333,"realiz",48,0.439716312056738,42
"49",0.416666666666667,"also",49,0.49645390070922,27
"50",0.416666666666667,"help",50,0.382978723404255,61
"51",0.4,"appear",51,0.446808510638298,39
"52",0.4,"confront",52,0.333333333333333,76
"53",0.4,"dead",53,0.453900709219858,38
"54",0.4,"give",54,0.290780141843972,90
"55",0.4,"report",55,0.219858156028369,151
"56",0.383333333333333,"assist",56,0.163120567375887,224
"57",0.383333333333333,"attempt",57,0.432624113475177,43
"58",0.383333333333333,"car",58,0.468085106382979,34
"59",0.383333333333333,"goe",59,0.404255319148936,53
"60",0.383333333333333,"krycek",60,0.00709219858156028,3982
"61",0.366666666666667,"contain",61,0.191489361702128,180
"62",0.366666666666667,"home",62,0.48936170212766,30
"63",0.366666666666667,"men",63,0.24822695035461,125
"64",0.366666666666667,"search",64,0.297872340425532,88
"65",0.366666666666667,"time",65,0.397163120567376,55
"66",0.366666666666667,"tri",66,0.524822695035461,24
"67",0.35,"come",67,0.418439716312057,50
"68",0.35,"director",68,0.0921985815602837,433
"69",0.35,"forc",69,0.319148936170213,83
"70",0.35,"gunmen",70,0.0638297872340425,637
"71",0.35,"lone",71,0.0780141843971631,507
"72",0.35,"look",72,0.425531914893617,49
"73",0.35,"sister",73,0.120567375886525,341
"74",0.35,"turn",74,0.397163120567376,56
"75",0.35,"xfile",75,0.234042553191489,142
"76",0.333333333333333,"attack",76,0.468085106382979,33
"77",0.333333333333333,"case",77,0.48936170212766,28
"78",0.333333333333333,"continu",78,0.120567375886525,327
"79",0.333333333333333,"doctor",79,0.134751773049645,291
"80",0.333333333333333,"episod",80,0.177304964539007,199
"81",0.333333333333333,"get",81,0.418439716312057,51
"82",0.333333333333333,"life",82,0.212765957446809,160
"83",0.333333333333333,"miss",83,0.25531914893617,118
"84",0.333333333333333,"previous",84,0.156028368794326,241
"85",0.333333333333333,"refus",85,0.205673758865248,168
"86",0.333333333333333,"run",86,0.276595744680851,100
"87",0.333333333333333,"track",87,0.191489361702128,186
"88",0.333333333333333,"want",88,0.234042553191489,141
"89",0.316666666666667,"ask",89,0.439716312056738,41
"90",0.316666666666667,"black",90,0.0780141843971631,497
"91",0.316666666666667,"caus",91,0.382978723404255,59
"92",0.316666666666667,"day",92,0.347517730496454,69
"93",0.316666666666667,"death",93,0.446808510638298,40
"94",0.316666666666667,"instead",94,0.198581560283688,175
"95",0.316666666666667,"know",95,0.219858156028369,149
"96",0.316666666666667,"mysteri",96,0.26241134751773,110
"97",0.316666666666667,"now",97,0.212765957446809,161
"98",0.316666666666667,"receiv",98,0.212765957446809,162
"99",0.316666666666667,"seem",99,0.283687943262411,96
"100",0.316666666666667,"soon",100,0.290780141843972,92
"101",0.3,"abl",101,0.212765957446809,153
"102",0.3,"anoth",102,0.453900709219858,37
"103",0.3,"destroy",103,0.148936170212766,254
"104",0.3,"experi",104,0.212765957446809,156
"105",0.3,"father",105,0.234042553191489,136
"106",0.3,"headquart",106,0.0709219858156028,561
"107",0.3,"night",107,0.432624113475177,47
"108",0.3,"shoot",108,0.375886524822695,65
"109",0.3,"someon",109,0.226950354609929,146
