"","x"
"left",0.159203980099502
"lie",0.159203980099502
"lone",0.159203980099502
"plan",0.159203980099502
"set",0.159203980099502
"appar",0.154228855721393
"eye",0.154228855721393
"killer",0.154228855721393
"move",0.154228855721393
"research",0.154228855721393
"suggest",0.154228855721393
"wife",0.154228855721393
"arm",0.149253731343284
"black",0.149253731343284
"brought",0.149253731343284
"encount",0.149253731343284
"figur",0.149253731343284
"guard",0.149253731343284
"gunmen",0.149253731343284
"identifi",0.149253731343284
"keep",0.149253731343284
"past",0.149253731343284
"speak",0.149253731343284
"wit",0.149253731343284
"boy",0.144278606965174
"close",0.144278606965174
"hide",0.144278606965174
"includ",0.144278606965174
"lock",0.144278606965174
"made",0.144278606965174
"record",0.144278606965174
"remov",0.144278606965174
"result",0.144278606965174
"second",0.144278606965174
"secur",0.144278606965174
"wood",0.144278606965174
"depart",0.139303482587065
"famili",0.139303482587065
"headquart",0.139303482587065
"ident",0.139303482587065
"incid",0.139303482587065
"prepar",0.139303482587065
"protect",0.139303482587065
"pursu",0.139303482587065
"recov",0.139303482587065
"sign",0.139303482587065
"throat",0.139303482587065
"area",0.134328358208955
"check",0.134328358208955
"crash",0.134328358208955
"moment",0.134328358208955
"sent",0.134328358208955
"sit",0.134328358208955
"suffer",0.134328358208955
"trace",0.134328358208955
"ufo",0.134328358208955
"without",0.134328358208955
"attend",0.129353233830846
"base",0.129353233830846
"control",0.129353233830846
"corps",0.129353233830846
"insist",0.129353233830846
"interview",0.129353233830846
"photo",0.129353233830846
"provid",0.129353233830846
"respons",0.129353233830846
"rush",0.129353233830846
"spot",0.129353233830846
"station",0.129353233830846
"tape",0.129353233830846
"virginia",0.129353233830846
"friend",0.124378109452736
"gone",0.124378109452736
"ground",0.124378109452736
"initi",0.124378109452736
"match",0.124378109452736
"never",0.124378109452736
"origin",0.124378109452736
"play",0.124378109452736
"real",0.124378109452736
"secret",0.124378109452736
"sheriff",0.124378109452736
"stand",0.124378109452736
"team",0.124378109452736
"unabl",0.124378109452736
"across",0.119402985074627
"allow",0.119402985074627
"anyth",0.119402985074627
"catch",0.119402985074627
"interrog",0.119402985074627
"krycek",0.119402985074627
"point",0.119402985074627
"request",0.119402985074627
"skeptic",0.119402985074627
"special",0.119402985074627
"vision",0.119402985074627
"bed",0.114427860696517
"belong",0.114427860696517
"creatur",0.114427860696517
"drug",0.114427860696517
"fli",0.114427860696517
"hope",0.114427860696517
"husband",0.114427860696517
"join",0.114427860696517
"kidnap",0.114427860696517
"knock",0.114427860696517
"led",0.114427860696517
"possibl",0.114427860696517
"rey",0.114427860696517
"send",0.114427860696517
"togeth",0.114427860696517
"wait",0.114427860696517
"whose",0.114427860696517
"window",0.114427860696517
"within",0.114427860696517
"abandon",0.109452736318408
"act",0.109452736318408
"agre",0.109452736318408
"alreadi",0.109452736318408
"bathroom",0.109452736318408
"child",0.109452736318408
"commit",0.109452736318408
"fact",0.109452736318408
"fail",0.109452736318408
"feel",0.109452736318408
"high",0.109452736318408
"prison",0.109452736318408
"seri",0.109452736318408
"thing",0.109452736318408
"truth",0.109452736318408
"wake",0.109452736318408
"word",0.109452736318408
"activ",0.104477611940299
"alon",0.104477611940299
"assassin",0.104477611940299
"assign",0.104477611940299
"awaken",0.104477611940299
"brother",0.104477611940299
"children",0.104477611940299
"citi",0.104477611940299
"complet",0.104477611940299
"even",0.104477611940299
"form",0.104477611940299
"girl",0.104477611940299
"neck",0.104477611940299
"pick",0.104477611940299
"possess",0.104477611940299
"recogn",0.104477611940299
"saw",0.104477611940299
"ship",0.104477611940299
"surround",0.104477611940299
"threaten",0.104477611940299
"town",0.104477611940299
"abil",0.0995024875621891
"access",0.0995024875621891
"answer",0.0995024875621891
"babi",0.0995024875621891
"bar",0.0995024875621891
"confess",0.0995024875621891
"deep",0.0995024875621891
"describ",0.0995024875621891
"elder",0.0995024875621891
"els",0.0995024875621891
"floor",0.0995024875621891
"front",0.0995024875621891
"hotel",0.0995024875621891
"kersh",0.0995024875621891
"met",0.0995024875621891
"onto",0.0995024875621891
"physic",0.0995024875621891
"quick",0.0995024875621891
"samantha",0.0995024875621891
"seek",0.0995024875621891
"site",0.0995024875621891
"surviv",0.0995024875621891
"theori",0.0995024875621891
"trap",0.0995024875621891
"unconsci",0.0995024875621891
"argu",0.0945273631840796
"burst",0.0945273631840796
"confirm",0.0945273631840796
"connect",0.0945273631840796
"dark",0.0945273631840796
"develop",0.0945273631840796
"four",0.0945273631840796
"heart",0.0945273631840796
"long",0.0945273631840796
"much",0.0945273631840796
"need",0.0945273631840796
"news",0.0945273631840796
"offer",0.0945273631840796
"paper",0.0945273631840796
"process",0.0945273631840796
"retriev",0.0945273631840796
"scream",0.0945273631840796
"soldier",0.0945273631840796
"stay",0.0945273631840796
"store",0.0945273631840796
"suicid",0.0945273631840796
"though",0.0945273631840796
"unknown",0.0945273631840796
"video",0.0945273631840796
"accus",0.0895522388059701
"air",0.0895522388059701
"comput",0.0895522388059701
"concern",0.0895522388059701
"condit",0.0895522388059701
"creat",0.0895522388059701
"danger",0.0895522388059701
"daughter",0.0895522388059701
"deputi",0.0895522388059701
"dismiss",0.0895522388059701
"enough",0.0895522388059701
"expos",0.0895522388059701
"extraterrestri",0.0895522388059701
"facil",0.0895522388059701
"fake",0.0895522388059701
"fight",0.0895522388059701
"five",0.0895522388059701
"lose",0.0895522388059701
"lost",0.0895522388059701
"month",0.0895522388059701
"must",0.0895522388059701
"observ",0.0895522388059701
"oper",0.0895522388059701
"pictur",0.0895522388059701
"rememb",0.0895522388059701
"truck",0.0895522388059701
"vanish",0.0895522388059701
"wall",0.0895522388059701
"world",0.0895522388059701
"buri",0.0845771144278607
"camera",0.0845771144278607
"compani",0.0845771144278607
"conclud",0.0845771144278607
"convers",0.0845771144278607
"empti",0.0845771144278607
"everyth",0.0845771144278607
"fatal",0.0845771144278607
"fear",0.0845771144278607
"fellow",0.0845771144278607
"flash",0.0845771144278607
"injur",0.0845771144278607
"lab",0.0845771144278607
"mention",0.0845771144278607
"might",0.0845771144278607
"mind",0.0845771144278607
"project",0.0845771144278607
"prove",0.0845771144278607
"reluct",0.0845771144278607
"rescu",0.0845771144278607
"scientist",0.0845771144278607
"sneak",0.0845771144278607
"steal",0.0845771144278607
"syndic",0.0845771144278607
"system",0.0845771144278607
"true",0.0845771144278607
"unit",0.0845771144278607
"violent",0.0845771144278607
"weapon",0.0845771144278607
"whether",0.0845771144278607
"write",0.0845771144278607
"bad",0.0796019900497512
"done",0.0796019900497512
"exchang",0.0796019900497512
"exist",0.0796019900497512
"hour",0.0796019900497512
"immedi",0.0796019900497512
"known",0.0796019900497512
"late",0.0796019900497512
"latest",0.0796019900497512
"listen",0.0796019900497512
"messag",0.0796019900497512
"object",0.0796019900497512
"occur",0.0796019900497512
"organ",0.0796019900497512
"other",0.0796019900497512
"piec",0.0796019900497512
"prompt",0.0796019900497512
"resid",0.0796019900497512
"school",0.0796019900497512
"sight",0.0796019900497512
"success",0.0796019900497512
"tear",0.0796019900497512
"teenag",0.0796019900497512
